VMs,CPU,Mem,Netz
VM 5051,4,391,246
VM 5052,2,4328,421
VM 5053,3,4287,409
VM 5054,3,1253,324
VM 5055,3,234,474
VM 5056,1,2551,312
VM 5057,2,3466,357
VM 5058,1,3924,314
VM 5059,1,4845,10
VM 5060,1,4441,498
VM 5061,2,3791,437
VM 5062,4,1312,354
VM 5063,4,3485,415
VM 5064,1,3347,163
VM 5065,4,821,344
VM 5066,1,2505,326
VM 5067,1,3633,203
VM 5068,2,2948,82
VM 5069,2,3849,465
VM 5070,3,4139,189
VM 5071,2,1455,60
VM 5072,3,142,242
VM 5073,4,4793,441
VM 5074,1,1409,237
VM 5075,2,3573,10
VM 5076,2,2365,74
VM 5077,2,538,285
VM 5078,4,3496,25
VM 5079,1,3562,111
VM 5080,1,2737,325
VM 5081,3,4684,421
VM 5082,3,3727,472
VM 5083,2,583,48
VM 5084,1,3222,316
VM 5085,4,2096,306
VM 5086,4,3078,392
VM 5087,1,4586,199
VM 5088,3,2005,257
VM 5089,2,2455,55
VM 5090,3,630,28
VM 5091,1,2477,280
VM 5092,1,1545,65
VM 5093,1,2384,154
VM 5094,1,1329,481
VM 5095,4,2564,234
VM 5096,4,3199,210
VM 5097,2,4468,410
VM 5098,1,4811,358
VM 5099,1,529,11
VM 5100,4,3009,429
VM 5101,4,800,339
VM 5102,3,4240,372
VM 5103,2,4008,223
VM 5104,4,1120,347
VM 5105,1,3370,67
VM 5106,1,996,127
VM 5107,3,4732,252
VM 5108,1,4440,452
VM 5109,3,3853,229
VM 5110,1,4600,380
VM 5111,2,1982,120
VM 5112,1,3440,147
VM 5113,3,981,74
VM 5114,4,2642,101
VM 5115,3,3880,381
VM 5116,1,4603,138
VM 5117,1,4874,221
VM 5118,1,2470,346
VM 5119,3,3801,361
VM 5120,1,4746,240
VM 5121,1,4251,91
VM 5122,2,177,75
VM 5123,4,2893,363
VM 5124,4,2462,352
VM 5125,1,4569,117
VM 5126,4,2869,325
VM 5127,4,1388,366
VM 5128,1,123,256
VM 5129,1,2650,270
VM 5130,1,2436,357
VM 5131,4,1029,388
VM 5132,4,2332,145
VM 5133,1,1381,323
VM 5134,2,2905,281
VM 5135,2,3571,429
VM 5136,1,3310,302
VM 5137,1,1558,98
VM 5138,3,4127,459
VM 5139,4,893,397
VM 5140,1,1632,185
VM 5141,1,1877,147
VM 5142,1,1870,464
VM 5143,4,833,27
VM 5144,4,760,291
VM 5145,4,2516,486
VM 5146,4,3478,258
VM 5147,1,4375,94
VM 5148,4,3141,88
VM 5149,1,2626,54
VM 5150,4,4025,331
VM 5151,1,4305,218
VM 5152,2,4159,16
VM 5153,1,2408,74
VM 5154,1,415,31
VM 5155,3,2952,165
VM 5156,1,4971,93
VM 5157,3,1280,406
VM 5158,4,100,453
VM 5159,1,2022,395
VM 5160,3,200,430
VM 5161,1,4932,307
VM 5162,1,1909,385
VM 5163,1,975,62
VM 5164,2,2666,113
VM 5165,2,826,297
VM 5166,3,4628,10
VM 5167,3,1729,344
VM 5168,4,2684,268
VM 5169,2,3938,476
VM 5170,2,2350,224
VM 5171,4,1864,324
VM 5172,1,4129,360
VM 5173,1,2221,262
VM 5174,1,2980,10
VM 5175,4,748,100
VM 5176,2,3250,247
VM 5177,3,4472,51
VM 5178,4,3072,26
VM 5179,4,3352,28
VM 5180,2,4297,329
VM 5181,2,1872,211
VM 5182,3,2229,268
VM 5183,1,4702,301
VM 5184,2,3295,197
VM 5185,1,3629,237
VM 5186,4,1410,332
VM 5187,3,4189,106
VM 5188,4,2757,86
VM 5189,3,1689,129
VM 5190,3,2459,294
VM 5191,1,3105,300
VM 5192,1,892,132
VM 5193,1,4540,331
VM 5194,3,897,461
VM 5195,1,944,361
VM 5196,1,3728,390
VM 5197,1,657,138
VM 5198,1,389,448
VM 5199,4,1116,465
VM 5200,4,2765,362
VM 5201,1,3088,72
VM 5202,1,473,98
VM 5203,1,4833,180
VM 5204,2,4107,360
VM 5205,1,3161,207
VM 5206,2,3938,433
VM 5207,2,2963,195
VM 5208,2,2626,393
VM 5209,3,3198,293
VM 5210,1,1847,35
VM 5211,3,4693,19
VM 5212,1,1492,448
VM 5213,2,506,372
VM 5214,4,2460,10
VM 5215,1,3829,312
VM 5216,3,3441,476
VM 5217,1,2782,333
VM 5218,1,345,453
VM 5219,4,3531,405
VM 5220,2,385,188
VM 5221,3,3376,472
VM 5222,3,3635,328
VM 5223,4,3220,126
VM 5224,2,2421,301
VM 5225,1,3686,268
VM 5226,1,910,264
VM 5227,4,2285,287
VM 5228,4,993,239
VM 5229,4,4169,47
VM 5230,2,4271,98
VM 5231,2,4101,79
VM 5232,2,3812,446
VM 5233,4,230,157
VM 5234,2,2089,175
VM 5235,3,710,230
VM 5236,3,1326,422
VM 5237,1,4438,137
VM 5238,2,3517,107
VM 5239,3,3315,499
VM 5240,2,778,323
VM 5241,2,2164,114
VM 5242,2,2144,224
VM 5243,3,1531,28
VM 5244,1,4514,43
VM 5245,1,3907,374
VM 5246,1,3222,101
VM 5247,1,100,142
VM 5248,2,3943,487
VM 5249,1,4160,171
VM 5250,1,2662,200
VM 5251,2,267,487
VM 5252,2,4524,436
VM 5253,1,3754,365
VM 5254,1,1438,399
VM 5255,2,520,293
VM 5256,1,406,296
VM 5257,1,148,466
VM 5258,4,1269,467
VM 5259,1,4392,202
VM 5260,1,4728,272
VM 5261,4,3160,10
VM 5262,3,1322,327
VM 5263,1,2724,343
VM 5264,1,3272,42
VM 5265,3,2111,490
VM 5266,2,1341,334
VM 5267,1,1718,323
VM 5268,1,4985,315
VM 5269,2,4303,457
VM 5270,1,3931,212
VM 5271,4,2493,394
VM 5272,1,3020,288
VM 5273,2,4162,169
VM 5274,3,2813,234
VM 5275,4,4155,399
VM 5276,3,4184,434
VM 5277,1,2292,231
VM 5278,2,4639,240
VM 5279,1,1917,20
VM 5280,3,3270,275
VM 5281,1,4002,266
VM 5282,2,4464,139
VM 5283,1,4264,26
VM 5284,3,1428,285
VM 5285,1,2736,280
VM 5286,4,4199,155
VM 5287,2,3603,16
VM 5288,4,4739,402
VM 5289,1,100,133
VM 5290,1,4309,187
VM 5291,4,3240,149
VM 5292,2,288,227
VM 5293,2,920,336
VM 5294,1,1678,378
VM 5295,3,4883,499
VM 5296,1,2467,372
VM 5297,1,4149,37
VM 5298,3,953,214
VM 5299,4,235,496
VM 5300,1,1820,150
VM 5301,1,2810,182
VM 5302,4,2764,253
VM 5303,1,2533,444
VM 5304,2,2606,268
VM 5305,4,4757,359
VM 5306,2,100,429
VM 5307,4,4168,237
VM 5308,2,3270,10
VM 5309,4,4330,264
VM 5310,1,3195,253
VM 5311,1,4783,281
VM 5312,4,1336,407
VM 5313,2,4251,120
VM 5314,1,1161,142
VM 5315,1,436,103
VM 5316,1,654,481
VM 5317,3,1654,145
VM 5318,1,3302,113
VM 5319,1,3635,362
VM 5320,1,4719,472
VM 5321,1,2161,395
VM 5322,1,1842,65
VM 5323,3,1161,297
VM 5324,1,4644,372
VM 5325,3,1462,429
VM 5326,3,921,463
VM 5327,4,1769,199
VM 5328,1,4545,27
VM 5329,1,4820,311
VM 5330,1,1497,337
VM 5331,4,3889,196
VM 5332,3,456,307
VM 5333,2,1366,418
VM 5334,3,1151,180
VM 5335,3,4572,13
VM 5336,1,1478,175
VM 5337,4,1989,456
VM 5338,1,4442,32
VM 5339,2,4892,416
VM 5340,3,3648,160
VM 5341,1,1996,373
VM 5342,4,2727,284
VM 5343,4,4061,263
VM 5344,2,3069,195
VM 5345,2,2575,124
VM 5346,3,2368,60
VM 5347,3,4463,494
VM 5348,1,100,54
VM 5349,3,3439,394
VM 5350,4,1990,345
VM 5351,1,2722,429
VM 5352,1,437,177
VM 5353,4,2783,481
VM 5354,1,2868,474
VM 5355,4,2877,10
VM 5356,1,4180,23
VM 5357,1,100,42
VM 5358,1,1701,478
VM 5359,1,1555,473
VM 5360,2,3670,253
VM 5361,1,1296,338
VM 5362,1,1915,334
VM 5363,2,1902,129
VM 5364,1,2006,494
VM 5365,1,3525,467
VM 5366,1,3204,143
VM 5367,2,2845,10
VM 5368,1,2279,166
VM 5369,1,2330,350
VM 5370,4,4391,395
VM 5371,1,3018,205
VM 5372,4,4717,416
VM 5373,3,1684,417
VM 5374,3,1665,71
VM 5375,1,4437,329
VM 5376,1,3233,48
VM 5377,1,3627,86
VM 5378,1,3050,22
VM 5379,4,4752,79
VM 5380,4,1944,437
VM 5381,3,4029,132
VM 5382,3,414,297
VM 5383,1,3537,141
VM 5384,1,402,400
VM 5385,1,2765,36
VM 5386,4,2531,346
VM 5387,3,2779,23
VM 5388,1,3725,199
VM 5389,1,4698,264
VM 5390,4,1602,353
VM 5391,4,4330,304
VM 5392,4,470,370
VM 5393,4,1340,249
VM 5394,1,1296,312
VM 5395,1,2677,237
VM 5396,3,1924,429
VM 5397,1,2033,63
VM 5398,1,1693,364
VM 5399,1,4933,225
VM 5400,1,1609,96
VM 5401,2,2877,423
VM 5402,3,606,393
VM 5403,1,1518,28
VM 5404,3,3058,114
VM 5405,4,1560,234
VM 5406,2,1524,351
VM 5407,2,451,12
VM 5408,2,2490,456
VM 5409,2,1560,389
VM 5410,4,923,359
VM 5411,4,666,383
VM 5412,1,691,206
VM 5413,3,100,435
VM 5414,3,1944,220
VM 5415,4,194,183
VM 5416,3,427,237
VM 5417,2,116,53
VM 5418,3,2335,126
VM 5419,4,3457,291
VM 5420,1,1844,396
VM 5421,4,4629,88
VM 5422,3,2255,17
VM 5423,4,3290,342
VM 5424,1,3725,311
VM 5425,4,1440,495
VM 5426,3,1895,337
VM 5427,4,2647,292
VM 5428,2,3104,142
VM 5429,2,2126,225
VM 5430,4,4973,144
VM 5431,3,3261,372
VM 5432,1,4527,87
VM 5433,1,4815,44
VM 5434,1,1989,438
VM 5435,4,3798,343
VM 5436,3,3355,253
VM 5437,3,175,272
VM 5438,1,1644,394
VM 5439,4,3310,287
VM 5440,2,4727,87
VM 5441,4,3796,265
VM 5442,1,101,149
VM 5443,1,1982,235
VM 5444,3,1324,454
VM 5445,2,2738,261
VM 5446,4,716,244
VM 5447,1,370,47
VM 5448,4,3761,135
VM 5449,3,4117,434
VM 5450,2,1597,353
VM 5451,3,483,406
VM 5452,1,2376,484
VM 5453,1,4031,112
VM 5454,3,4706,497
VM 5455,2,2168,236
VM 5456,4,3320,286
VM 5457,4,1200,192
VM 5458,1,3405,45
VM 5459,1,1366,124
VM 5460,1,229,410
VM 5461,1,1073,241
VM 5462,1,163,485
VM 5463,1,2851,154
VM 5464,1,314,228
VM 5465,2,3109,195
VM 5466,3,2702,122
VM 5467,4,4101,144
VM 5468,1,549,457
VM 5469,1,1321,361
VM 5470,4,182,164
VM 5471,2,3948,466
VM 5472,4,624,17
VM 5473,4,1033,201
VM 5474,1,988,396
VM 5475,2,4614,53
VM 5476,1,4572,282
VM 5477,3,3097,10
VM 5478,3,440,57
VM 5479,2,3681,214
VM 5480,1,2468,151
VM 5481,4,658,175
VM 5482,4,163,365
VM 5483,3,3437,173
VM 5484,4,2220,235
VM 5485,3,2779,367
VM 5486,1,1032,135
VM 5487,3,3924,92
VM 5488,3,4433,77
VM 5489,1,3984,82
VM 5490,4,3484,380
VM 5491,1,2848,471
VM 5492,3,377,311
VM 5493,4,3977,274
VM 5494,1,2577,342
VM 5495,1,319,25
VM 5496,2,4477,391
VM 5497,1,2463,213
VM 5498,3,512,486
VM 5499,1,4165,96
VM 5500,1,3259,60
VM 5501,1,140,94
VM 5502,3,1352,96
VM 5503,1,2335,219
VM 5504,4,2467,86
VM 5505,2,3519,469
VM 5506,1,1433,323
VM 5507,3,2577,260
VM 5508,3,3071,416
VM 5509,1,3332,154
VM 5510,1,4451,226
VM 5511,1,1303,454
VM 5512,1,100,338
VM 5513,4,3808,176
VM 5514,2,2364,127
VM 5515,1,3190,304
VM 5516,1,378,474
VM 5517,4,3122,262
VM 5518,4,2210,439
VM 5519,2,683,55
VM 5520,1,2979,448
VM 5521,3,3800,128
VM 5522,3,4521,452
VM 5523,2,3166,447
VM 5524,3,4863,407
VM 5525,1,814,94
VM 5526,3,1399,10
VM 5527,1,4122,52
VM 5528,3,2005,183
VM 5529,3,4522,171
VM 5530,1,1369,407
VM 5531,1,1128,290
VM 5532,4,3437,317
VM 5533,3,482,342
VM 5534,2,3919,10
VM 5535,1,3047,220
VM 5536,2,227,370
VM 5537,1,3559,278
VM 5538,3,4125,299
VM 5539,3,1210,316
VM 5540,1,3845,454
VM 5541,4,4519,102
VM 5542,1,2014,134
VM 5543,1,1850,254
VM 5544,2,381,249
VM 5545,1,3647,178
VM 5546,1,2228,187
VM 5547,1,435,237
VM 5548,2,3235,349
VM 5549,4,2664,165
VM 5550,2,2227,46
VM 5551,2,4920,20
VM 5552,1,2311,191
VM 5553,1,3441,229
VM 5554,1,1663,23
VM 5555,4,4290,150
VM 5556,1,2349,49
VM 5557,4,4735,438
VM 5558,2,1613,87
VM 5559,1,1060,404
VM 5560,1,1877,16
VM 5561,3,1317,365
VM 5562,1,244,124
VM 5563,3,1680,119
VM 5564,3,2289,247
VM 5565,1,3515,393
VM 5566,2,938,132
VM 5567,2,2066,419
VM 5568,1,3871,289
VM 5569,2,4284,52
VM 5570,4,237,384
VM 5571,2,1638,383
VM 5572,2,2029,232
VM 5573,3,519,48
VM 5574,4,879,42
VM 5575,2,3496,368
VM 5576,2,2736,79
VM 5577,1,338,318
VM 5578,4,4938,255
VM 5579,4,464,74
VM 5580,4,1106,235
VM 5581,2,3599,101
VM 5582,1,3453,322
VM 5583,3,1894,467
VM 5584,4,1155,287
VM 5585,4,3877,62
VM 5586,1,2085,122
VM 5587,1,4182,379
VM 5588,1,3188,308
VM 5589,4,1607,485
VM 5590,1,2184,171
VM 5591,3,4024,467
VM 5592,3,2820,303
VM 5593,3,4977,448
VM 5594,3,3210,369
VM 5595,2,2475,288
VM 5596,1,2435,87
VM 5597,3,2579,217
VM 5598,1,745,273
VM 5599,3,4852,437
VM 5600,2,1937,335
VM 5601,2,4661,337
VM 5602,2,4327,10
VM 5603,1,1495,111
VM 5604,3,844,321
VM 5605,4,3155,56
VM 5606,3,1082,280
VM 5607,4,2347,498
VM 5608,1,3273,415
VM 5609,4,4460,321
VM 5610,2,4547,405
VM 5611,1,4202,153
VM 5612,1,1017,257
VM 5613,1,3194,80
VM 5614,3,3252,80
VM 5615,1,3340,414
VM 5616,2,2812,199
VM 5617,3,4893,48
VM 5618,1,516,275
VM 5619,1,3137,485
VM 5620,3,100,32
VM 5621,1,813,470
VM 5622,3,484,40
VM 5623,4,994,83
VM 5624,2,313,282
VM 5625,2,3674,167
VM 5626,1,785,143
VM 5627,4,1779,441
VM 5628,1,1318,388
VM 5629,3,4302,351
VM 5630,4,4200,89
VM 5631,4,648,88
VM 5632,4,1348,420
VM 5633,1,764,327
VM 5634,2,486,256
VM 5635,1,1887,48
VM 5636,1,2825,141
VM 5637,1,3632,214
VM 5638,1,100,62
VM 5639,1,2071,94
VM 5640,3,2618,130
VM 5641,1,3580,304
VM 5642,1,2929,412
VM 5643,3,484,242
VM 5644,4,748,443
VM 5645,2,524,44
VM 5646,4,1851,427
VM 5647,1,2401,10
VM 5648,4,600,286
VM 5649,1,1978,442
VM 5650,2,1006,370
VM 5651,1,1378,348
VM 5652,1,4658,24
VM 5653,2,2297,413
VM 5654,2,2971,70
VM 5655,2,290,416
VM 5656,1,4847,459
VM 5657,2,3829,242
VM 5658,1,2508,104
VM 5659,2,2379,422
VM 5660,1,874,221
VM 5661,3,951,412
VM 5662,4,3175,10
VM 5663,1,3042,23
VM 5664,3,3489,361
VM 5665,2,3285,18
VM 5666,4,4732,314
VM 5667,3,614,178
VM 5668,1,2296,208
VM 5669,1,204,436
VM 5670,1,3656,422
VM 5671,4,4765,281
VM 5672,3,4753,385
VM 5673,1,100,213
VM 5674,1,4998,198
VM 5675,2,4589,351
VM 5676,3,4118,493
VM 5677,4,4452,447
VM 5678,1,1454,232
VM 5679,1,4816,217
VM 5680,4,4546,345
VM 5681,1,4468,53
VM 5682,1,4955,140
VM 5683,1,2897,471
VM 5684,1,1116,355
VM 5685,1,4857,475
VM 5686,4,2119,221
VM 5687,3,2070,440
VM 5688,2,1428,183
VM 5689,1,3560,364
VM 5690,1,2780,85
VM 5691,3,738,146
VM 5692,3,3442,18
VM 5693,1,4044,238
VM 5694,1,301,230
VM 5695,3,1784,10
VM 5696,1,1518,478
VM 5697,3,1297,490
VM 5698,1,3660,496
VM 5699,1,1635,81
VM 5700,2,4094,10
VM 5701,1,2102,377
VM 5702,1,4270,279
VM 5703,1,3082,411
VM 5704,1,2149,265
VM 5705,3,252,386
VM 5706,1,163,416
VM 5707,4,3016,180
VM 5708,1,2524,185
VM 5709,1,2865,451
VM 5710,2,1613,224
VM 5711,4,1355,195
VM 5712,1,4333,277
VM 5713,2,4930,80
VM 5714,2,379,277
VM 5715,4,550,209
VM 5716,1,100,288
VM 5717,3,694,442
VM 5718,1,4597,168
VM 5719,2,1078,57
VM 5720,1,339,344
VM 5721,2,2389,312
VM 5722,3,2946,236
VM 5723,2,2400,113
VM 5724,3,3923,33
VM 5725,1,4208,151
VM 5726,2,4951,441
VM 5727,1,839,293
VM 5728,2,3939,323
VM 5729,2,2273,305
VM 5730,2,4341,428
VM 5731,1,785,223
VM 5732,2,3545,457
VM 5733,2,4695,479
VM 5734,3,4065,127
VM 5735,1,3608,244
VM 5736,3,2149,42
VM 5737,4,4584,234
VM 5738,4,100,154
VM 5739,4,4517,186
VM 5740,2,2730,396
VM 5741,1,3157,256
VM 5742,1,839,210
VM 5743,1,1511,206
VM 5744,2,3494,374
VM 5745,1,4805,83
VM 5746,1,2436,164
VM 5747,4,2397,116
VM 5748,1,4240,337
VM 5749,1,1206,330
VM 5750,3,695,53
VM 5751,1,643,333
VM 5752,3,4141,188
VM 5753,2,2193,205
VM 5754,4,4631,291
VM 5755,3,3646,35
VM 5756,4,3203,429
VM 5757,4,2287,340
VM 5758,2,490,41
VM 5759,3,2706,188
VM 5760,2,4425,34
VM 5761,4,3347,41
VM 5762,1,464,342
VM 5763,4,2748,363
VM 5764,4,2691,89
VM 5765,2,922,142
VM 5766,2,319,349
VM 5767,2,1482,244
VM 5768,2,4599,54
VM 5769,3,4382,53
VM 5770,1,2408,266
VM 5771,1,2376,274
VM 5772,3,903,254
VM 5773,1,3961,49
VM 5774,1,4468,420
VM 5775,3,3429,229
VM 5776,1,4855,240
VM 5777,3,1300,72
VM 5778,3,199,241
VM 5779,1,4296,418
VM 5780,2,608,450
VM 5781,2,4036,118
VM 5782,2,100,359
VM 5783,1,2933,363
VM 5784,2,935,274
VM 5785,3,4403,376
VM 5786,3,4325,461
VM 5787,3,4397,92
VM 5788,2,2805,492
VM 5789,4,1700,381
VM 5790,1,2759,78
VM 5791,1,3977,151
VM 5792,1,2881,313
VM 5793,3,3831,446
VM 5794,2,4740,10
VM 5795,4,4268,96
VM 5796,4,2765,230
VM 5797,3,3955,13
VM 5798,3,1670,155
VM 5799,4,1269,12
VM 5800,4,730,217
VM 5801,3,4572,459
VM 5802,2,1427,323
VM 5803,4,2943,117
VM 5804,4,2904,411
VM 5805,2,3136,78
VM 5806,3,3783,479
VM 5807,4,100,158
VM 5808,2,2230,326
VM 5809,1,523,223
VM 5810,2,4677,486
VM 5811,4,3745,114
VM 5812,3,3159,312
VM 5813,1,1366,106
VM 5814,1,3352,413
VM 5815,4,445,265
VM 5816,3,3866,35
VM 5817,1,3459,364
VM 5818,1,4218,449
VM 5819,4,2373,308
VM 5820,1,809,466
VM 5821,4,2051,373
VM 5822,3,4821,278
VM 5823,3,2146,91
VM 5824,4,2765,29
VM 5825,2,3977,210
VM 5826,2,2545,258
VM 5827,4,3622,10
VM 5828,1,2914,401
VM 5829,1,1122,413
VM 5830,2,671,145
VM 5831,2,4089,334
VM 5832,4,3289,160
VM 5833,2,2782,446
VM 5834,2,4088,197
VM 5835,2,406,98
VM 5836,1,823,446
VM 5837,1,1995,357
VM 5838,4,1375,10
VM 5839,3,1782,138
VM 5840,1,3366,98
VM 5841,1,1875,220
VM 5842,2,3087,26
VM 5843,2,4978,200
VM 5844,3,2414,278
VM 5845,1,4464,392
VM 5846,2,964,13
VM 5847,1,3763,289
VM 5848,1,1878,483
VM 5849,1,1511,40
VM 5850,3,4284,93
VM 5851,3,3493,66
VM 5852,1,4014,18
VM 5853,1,3986,199
VM 5854,3,2949,199
VM 5855,1,3672,254
VM 5856,2,4662,444
VM 5857,3,4995,378
VM 5858,3,1817,200
VM 5859,3,1333,463
VM 5860,2,181,304
VM 5861,3,4078,375
VM 5862,2,2589,10
VM 5863,3,989,360
VM 5864,2,2924,482
VM 5865,1,4673,74
VM 5866,1,2933,260
VM 5867,2,2832,376
VM 5868,3,771,385
VM 5869,4,793,485
VM 5870,4,2759,311
VM 5871,3,4717,25
VM 5872,1,4138,331
VM 5873,1,3690,224
VM 5874,4,4379,377
VM 5875,4,303,16
VM 5876,2,990,428
VM 5877,1,4479,488
VM 5878,1,1911,177
VM 5879,2,551,63
VM 5880,1,1728,28
VM 5881,4,4373,356
VM 5882,1,617,135
VM 5883,1,3536,228
VM 5884,3,1351,325
VM 5885,1,301,415
VM 5886,1,3869,16
VM 5887,2,3295,249
VM 5888,1,1097,69
VM 5889,3,315,371
VM 5890,2,4209,479
VM 5891,2,2144,23
VM 5892,1,722,443
VM 5893,1,229,316
VM 5894,2,463,299
VM 5895,4,2563,409
VM 5896,1,810,139
VM 5897,2,512,280
VM 5898,4,100,220
VM 5899,2,4437,83
VM 5900,1,1912,357
VM 5901,1,458,105
VM 5902,4,4246,286
VM 5903,1,1035,465
VM 5904,2,3990,16
VM 5905,1,123,458
VM 5906,1,1004,302
VM 5907,1,2699,224
VM 5908,1,454,250
VM 5909,4,4487,43
VM 5910,1,4779,22
VM 5911,3,805,450
VM 5912,2,1233,421
VM 5913,4,3722,215
VM 5914,2,100,112
VM 5915,1,1042,398
VM 5916,1,3542,284
VM 5917,1,3303,265
VM 5918,4,3251,427
VM 5919,3,4591,189
VM 5920,1,2607,142
VM 5921,1,3103,147
VM 5922,4,2480,218
VM 5923,1,3230,473
VM 5924,1,2289,366
VM 5925,1,396,334
VM 5926,2,1407,446
VM 5927,1,4832,391
VM 5928,3,2536,449
VM 5929,1,3000,308
VM 5930,2,2065,71
VM 5931,1,4124,138
VM 5932,4,1759,363
VM 5933,1,576,472
VM 5934,4,2050,329
VM 5935,2,4957,106
VM 5936,1,2632,410
VM 5937,2,4291,429
VM 5938,1,1942,295
VM 5939,1,4655,403
VM 5940,1,4424,444
VM 5941,2,2789,204
VM 5942,4,4598,264
VM 5943,4,3350,45
VM 5944,1,3785,334
VM 5945,3,553,469
VM 5946,3,822,369
VM 5947,1,1470,297
VM 5948,1,4019,351
VM 5949,3,3413,317
VM 5950,2,451,191
VM 5951,1,1786,465
VM 5952,1,100,226
VM 5953,1,100,472
VM 5954,2,4147,63
VM 5955,1,3668,492
VM 5956,1,2952,33
VM 5957,2,2743,121
VM 5958,1,4164,250
VM 5959,4,1364,362
VM 5960,3,3235,233
VM 5961,4,1350,273
VM 5962,4,2052,174
VM 5963,1,260,192
VM 5964,1,2703,180
VM 5965,3,3622,157
VM 5966,3,2665,465
VM 5967,1,231,431
VM 5968,4,2987,195
VM 5969,4,2664,267
VM 5970,1,1970,197
VM 5971,4,3266,274
VM 5972,3,2914,354
VM 5973,3,2452,98
VM 5974,3,1022,347
VM 5975,4,3592,287
VM 5976,1,4105,49
VM 5977,3,4880,42
VM 5978,3,4994,210
VM 5979,2,2602,272
VM 5980,4,1086,10
VM 5981,2,4033,229
VM 5982,1,4499,276
VM 5983,3,2817,141
VM 5984,3,3233,445
VM 5985,2,1262,330
VM 5986,1,1378,356
VM 5987,2,156,434
VM 5988,1,1074,312
VM 5989,4,2943,15
VM 5990,1,2906,101
VM 5991,4,1652,202
VM 5992,2,3967,67
VM 5993,2,1616,345
VM 5994,1,1788,462
VM 5995,2,1705,196
VM 5996,1,4810,385
VM 5997,3,445,376
VM 5998,1,4471,56
VM 5999,1,3815,216
VM 6000,1,376,270
VM 6001,1,700,192
VM 6002,2,2187,427
VM 6003,1,1573,53
VM 6004,1,2944,25
VM 6005,3,2112,438
VM 6006,1,2757,190
VM 6007,4,2514,196
VM 6008,2,248,283
VM 6009,2,1688,177
VM 6010,1,1457,155
VM 6011,1,1198,425
VM 6012,1,1329,333
VM 6013,2,2644,134
VM 6014,4,1345,152
VM 6015,3,3648,477
VM 6016,3,609,330
VM 6017,1,1774,450
VM 6018,1,2144,433
VM 6019,3,3979,242
VM 6020,1,1539,95
VM 6021,2,603,163
VM 6022,1,2292,293
VM 6023,1,731,415
VM 6024,4,4347,170
VM 6025,1,3264,59
VM 6026,1,941,270
VM 6027,1,100,91
VM 6028,3,4853,10
VM 6029,1,2004,433
VM 6030,4,606,153
VM 6031,1,813,115
VM 6032,1,2975,169
VM 6033,1,4739,105
VM 6034,3,1785,345
VM 6035,4,1160,420
VM 6036,1,381,384
VM 6037,2,3012,255
VM 6038,1,3241,66
VM 6039,2,1926,242
VM 6040,4,1862,136
VM 6041,1,3134,311
VM 6042,4,678,340
VM 6043,3,901,369
VM 6044,1,4279,243
VM 6045,4,3174,155
VM 6046,1,2346,192
VM 6047,1,3824,70
VM 6048,4,470,300
VM 6049,1,3816,458
VM 6050,3,2615,50
VM 6051,2,4226,483
VM 6052,1,3227,43
VM 6053,1,1930,319
VM 6054,2,3771,455
VM 6055,4,100,58
VM 6056,1,1432,415
VM 6057,1,2006,250
VM 6058,1,2236,287
VM 6059,1,3370,131
VM 6060,1,1603,284
VM 6061,1,2346,304
VM 6062,3,3083,461
VM 6063,1,667,364
VM 6064,1,3499,99
VM 6065,1,143,302
VM 6066,2,1072,236
VM 6067,1,992,120
VM 6068,1,3047,43
VM 6069,2,2305,257
VM 6070,2,2572,105
VM 6071,2,964,333
VM 6072,2,4694,160
VM 6073,3,2004,67
VM 6074,1,503,30
VM 6075,1,1395,107
VM 6076,4,3330,301
VM 6077,1,4600,42
VM 6078,3,4008,206
VM 6079,2,3287,132
VM 6080,1,3205,267
VM 6081,4,701,158
VM 6082,4,806,427
VM 6083,1,2262,14
VM 6084,1,2736,455
VM 6085,2,3656,263
VM 6086,4,3134,121
VM 6087,3,4642,295
VM 6088,2,4849,460
VM 6089,1,3875,115
VM 6090,2,2913,138
VM 6091,1,557,320
VM 6092,1,2366,102
VM 6093,1,2842,330
VM 6094,2,3152,435
VM 6095,4,4585,120
VM 6096,2,2152,106
VM 6097,1,681,320
VM 6098,2,745,426
VM 6099,2,2508,190
VM 6100,3,100,236
VM 6101,2,2595,306
VM 6102,2,686,418
VM 6103,3,3841,430
VM 6104,2,1348,58
VM 6105,1,1407,384
VM 6106,3,3243,261
VM 6107,4,3807,37
VM 6108,1,2898,195
VM 6109,3,809,436
VM 6110,1,3980,102
VM 6111,2,438,378
VM 6112,2,4879,360
VM 6113,3,1816,436
VM 6114,1,1476,425
VM 6115,1,2440,260
VM 6116,4,4365,262
VM 6117,4,3207,345
VM 6118,1,4319,419
VM 6119,3,1397,68
VM 6120,3,3180,10
VM 6121,3,548,393
VM 6122,4,2438,90
VM 6123,1,2799,485
VM 6124,1,770,481
VM 6125,3,2671,50
VM 6126,3,2919,10
VM 6127,1,4237,416
VM 6128,2,817,366
VM 6129,4,4172,401
VM 6130,1,2412,12
VM 6131,1,970,302
VM 6132,2,2460,369
VM 6133,1,2736,32
VM 6134,3,1785,350
VM 6135,1,3842,286
VM 6136,4,3290,10
VM 6137,2,735,259
VM 6138,3,4009,110
VM 6139,1,2363,87
VM 6140,3,1835,322
VM 6141,1,1706,259
VM 6142,3,3294,164
